City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
223,Lismore,AU,73.99,-28.81,153.28,Dawson Motor Inn
224,Leninsk,RU,44.6,48.71,45.2,Turbaza Odisseya
225,Vilyuysk,RU,-2.31,63.76,121.62,Gostinitsa Viliuisk
226,Asfi,MA,66.34,32.3,-9.24,Hôtel Abda
227,Havelock,US,66.99,34.88,-76.9,Sherwood Motel
228,Manokwari,ID,84.38,-0.87,134.08,Swiss Belhotel Manokwari
229,Zemio,CF,70.14,5.03,25.14,
230,Thompson,CA,24.8,55.74,-97.86,Burntwood Hotel
231,Tiksi,RU,-4.99,71.69,128.87,Arktika
232,Manaure,CO,82.83,11.78,-72.44,Del mar vendra
233,Bandarbeyla,SO,76.68,9.49,50.81,REER XOOSHLE GROUP
234,Kaeo,NZ,73.99,-35.1,173.78,Bushido Lodge
235,Nyurba,RU,0.79,63.28,118.33,Gostinitsa Alrosa
236,Kasama,ZM,64.51,-10.21,31.18,Kalebalika Cottages
237,Taiyuan,CN,30.2,37.87,112.56,Taiyuan Wanda Wenhua Hotel
238,Marondera,ZW,57.0,-18.19,31.55,HopeFay Conference Centre
239,Palmer,US,50.0,42.16,-72.33,Wedgewood Motel
240,Port Hardy,CA,55.4,50.7,-127.42,Airport Inn
241,Saint-Augustin,CA,36.95,51.23,-58.65,
242,Portland,US,66.0,45.52,-122.68,The Bidwell Marriott Portland
243,Hvolsvollur,IS,35.01,63.75,-20.22,Aurora Lodge Hotel
244,Ulaangom,MN,24.75,49.98,92.07,Achit Nuur Hotel & Restaurant
245,Saint-Joseph,RE,69.8,-21.37,55.62,"""Plantation Bed and Breakfast"
246,Atbasar,KZ,38.08,51.8,68.33,"The Ritz-Carlton, Astana"
247,Huejuquilla El Alto,MX,77.86,22.6,-103.87,Hotel Huexuquillan
248,Lebowakgomo,ZA,57.2,-24.2,29.5,Chuene Resort
249,Ihosy,MG,62.35,-22.4,46.12,Hotely Sariaka
250,Coos Bay,US,66.99,43.37,-124.22,Best Western Holiday Hotel
251,Necochea,AR,64.0,-38.55,-58.74,dyd -mar Hotel
252,Olafsvik,IS,36.79,64.89,-23.71,Hotel Olafsvik
253,Kavaratti,IN,80.92,10.57,72.64,Hotels in Lakshadweep Islands
254,Port Macquarie,AU,62.6,-31.43,152.92,Rydges Port Macquarie
255,Sao Filipe,CV,79.21,14.9,-24.5,Tortuga B&B
256,Colgong,IN,72.32,25.27,87.22,Hotel Sachin
257,Vardo,NO,41.0,70.37,31.11,Vardø Hotel AS
258,Russell,US,73.4,32.35,-85.2,Macs
259,Pasni,PK,73.33,25.26,63.47,3G hotel pasni
260,Nishihara,JP,73.4,26.18,127.76,Minshuku Agaihama
261,Vostok,RU,29.16,46.49,135.88,
262,Asaka,JP,61.0,35.8,139.6,Toyoko-inn Wakoshi Station
263,Hervey Bay,AU,79.0,-25.3,152.85,Shelly Bay Resort
264,Kulhudhuffushi,MV,82.22,6.62,73.07,Haajy Guest House 1
265,Shebunino,RU,51.69,46.43,141.86,
266,Algiers,DZ,51.8,36.75,3.04,Sofitel Algiers Hamma Garden
267,San Jose,US,84.0,37.34,-121.89,The Westin San Jose
268,Bubaque,GW,83.44,11.28,-15.83,"Casa Dora, Bubaque"
269,Khandyga,RU,-12.39,62.67,135.6,Apel'sin
270,Bousso,TD,79.99,10.48,16.71,
